date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:18	81911/81911	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:34:53%20GMT	https://akademi.dexignlab.com/xhtml/add-teacher.html	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/add-teacher.html	(from )
09:00:20	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2014:00:27%20GMT	https://akademi.dexignlab.com/robots.txt		(from )
09:00:21	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2020%20Feb%202024%2014:00:29%20GMT	https://akademi.dexignlab.com/xhtml/social-image.png	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/social-image.png	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
09:00:23	508/508	---M--	200	added ('OK')	image/png	date:Wed,%2008%20Mar%202023%2013:41:42%20GMT	https://akademi.dexignlab.com/xhtml/images/favicon.png	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/images/favicon.png	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
09:00:24	11120/11120	---M--	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202020%2018:49:58%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
09:00:24	57095/57095	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2000:32:24%20GMT	https://akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/vendor/wow-master/css/libs/animate.css	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
09:00:25	15731/15731	---M--	200	added ('OK')	text/css	date:Sun,%2024%20Jan%202021%2022:17:18%20GMT	https://akademi.dexignlab.com/xhtml/vendor/bootstrap-datepicker-master/css/bootstrap-datepicker.min.css	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/vendor/bootstrap-datepicker-master/css/bootstrap-datepicker.min.css	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
09:00:26	14996/14996	---M--	200	added ('OK')	text/css	date:Sat,%2025%20Feb%202023%2017:48:14%20GMT	https://akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/vendor/datatables/css/jquery.dataTables.min.css	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
09:00:29	1074678/1074678	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202023%2011:40:27%20GMT	https://akademi.dexignlab.com/xhtml/css/style.css	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/css/style.css	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
09:00:29	262695/262695	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Aug%202023%2011:35:15%20GMT	https://akademi.dexignlab.com/xhtml/index.html	/home/kali/Desktop/academics/akademi.dexignlab.com/xhtml/index.html	(from https://akademi.dexignlab.com/xhtml/add-teacher.html)
